,prec@10,recall@10,map@10,novelty,serendipity
21-03-14,0.013756721111900174,0.10329728904114174,0.10329728904114174,12.262055519227486,0.0
21-03-15,0.011466902923680546,0.08924101347771274,0.022310253369428185,12.226418764293724,0.0
21-03-16,0.010134725087996116,0.07736121271955612,0.011051601817079445,11.965482822015408,0.0
21-03-17,0.01920138033029332,0.13917040364764588,0.016481831395257766,11.155672392118388,0.0
21-03-18,0.0174508126603935,0.1285587447895037,0.015963706071859873,11.066109641932647,0.0
21-03-19,0.0053363228699551575,0.03844785840301536,0.004271984267001705,12.037681105214299,0.0
21-03-20,0.005020059664643555,0.03320172495064023,0.0033201724950640233,12.23334621847687,0.0
21-03-21,0.0046475031472933285,0.031405969844359075,0.0031405969844359076,12.353815282518052,0.0
21-03-22,0.0,0.0,0.0,13.218563236190274,0.0
21-03-23,0.0,0.0,0.0,12.971902746045465,0.0
21-03-24,0.0,0.0,0.0,13.000704269011244,0.0
21-03-25,0.0,0.0,0.0,13.039261794341057,0.0
21-03-26,0.0,0.0,0.0,12.955286645524469,0.0
21-03-27,0.0,0.0,0.0,13.109504215757001,0.0
21-03-28,0.0,0.0,0.0,13.224303209373385,0.0
21-03-29,0.0,0.0,0.0,13.250890535723336,0.0
21-03-30,0.0,0.0,0.0,12.958190183693743,0.0
21-03-31,0.0,0.0,0.0,13.057991722759171,0.0
21-04-01,0.0,0.0,0.0,13.034970865471823,0.0
21-04-02,0.0,0.0,0.0,12.999471572532684,0.0
21-04-03,0.0,0.0,0.0,13.116993677546986,0.0
21-04-04,0.0,0.0,0.0,13.224152449663668,0.0
21-04-05,0.0,0.0,0.0,13.191213472221282,0.0
21-04-06,0.00815365551425031,0.06576416729777927,0.007307129699753252,12.08628785074071,0.0
21-04-07,0.006913875598086125,0.05305910891127852,0.006632388613909815,12.042158580791616,0.0
21-04-08,0.00496421674429172,0.03841303990778135,0.0042681155453090395,12.111794658718177,0.0
21-04-09,0.004671469111547697,0.03735534396962033,0.003735534396962033,12.226630605501564,0.0
21-04-10,0.004133641015350658,0.032527138148101126,0.003252713814810112,12.287300148877895,0.0
